Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,30036,28384,28905,29376,29820,30235,30615,30959,31264,31530,31754,31949
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107505,107898,109047,109165,109253,109315,109341,109328,109320,109357,109455,109643
"Population, total",SP.POP.TOTL,Sudan,SDN,20147590,27250535,32282526,32955496,33650619,34385963,35167314,35990192,36849918,37737913,38647803,39578828
"Population, total",SP.POP.TOTL,Suriname,SUR,407472,472390,509705,515148,520619,526103,531589,537077,542540,547928,553208,558368
"Population, total",SP.POP.TOTL,Swaziland,SWZ,861373,1061468,1138434,1158897,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9903122
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8372098
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12446171,16410848,19632806,20325443,20824893,21018834,20863993,20420701,19809141,19203090,18734987,18430453
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5283728,6216205,7152385,7309728,7472819,7641630,7815949,7995062,8177809,8362745,8548651,8734951
"Population, total",SP.POP.TOTL,Tanzania,TZA,25459604,34178042,41923715,43270144,44664231,46098591,47570902,49082997,50636595,52234869,53879957,55572201
"Population, total",SP.POP.TOTL,Thailand,THA,56582821,62958021,66195615,66545760,66881867,67208808,67530130,67843979,68143065,68416772,68657600,68863514
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,751933,871607,1064973,1078110,1092021,1109591,1131523,1156760,1184366,1212814,1240977,1268671
"Population, total",SP.POP.TOTL,Togo,TGO,3786940,4970367,5997385,6161796,6330472,6502952,6679282,6859482,7042948,7228915,7416802,7606374
"Population, total",SP.POP.TOTL,Tonga,TON,95153,98082,102357,103005,103604,104137,104577,104951,105328,105782,106364,107122
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221900,1267984,1309260,1315372,1321618,1328100,1334788,1341588,1348248,1354493,1360092,1364962
"Population, total",SP.POP.TOTL,Tunisia,TUN,8232797,9699197,10298087,10407336,10521834,10639931,10761467,10886668,11014558,11143908,11273661,11403248
"Population, total",SP.POP.TOTL,Turkey,TUR,53921699,63240121,69597281,70440032,71339185,72326914,73409455,74569867,75787333,77030628,78271472,79512426
